CustomerID,CustomerName,Country,Age,CustomerType,JoinDate,Email
db9942c0-cfdf-43bf-b06c-d00c5a05529b,Joel Clark,Cayman Islands,29,Business,2020-08-30,kellyvicki@hotmail.com
e9905f32-6f85-45e4-9115-e4f0709f770e,Nicole Turner,Liechtenstein,28,Business,2020-04-15,patriciahunter@hotmail.com
f3beb28f-67d1-46ec-8e5f-e3a5829d7541,Katie Lambert,Estonia,33,Business,2019-10-15,katrinabrown@keller.com
16edb919-a848-4e9c-a179-2d9f31fb6b84,Alison Matthews,Brunei Darussalam,46,Individual,2019-04-16,hillrussell@morgan.info
c911d46c-f490-4869-a4ec-88e629dcf1ed,Todd Li,United Arab Emirates,70,Individual,2022-03-06,hallamanda@murphy.org
0e56b3ec-d457-4b15-812e-8acbcb0d0206,Lisa Campbell,Pitcairn Islands,38,Business,2023-02-01,connie86@yahoo.com
9aaa8e2f-a905-45a0-bcff-a96272a50d54,Sherri Mclaughlin,Greenland,62,Individual,2023-03-24,mwilson@gmail.com
4c3a2b4e-a27d-41a9-8ed2-e67906761e48,Julia Logan,Macedonia,61,Business,2020-12-20,theresaboone@gray.info
f0a60bc9-148b-42fa-af4b-1ed38b03ab6e,David Ponce,Monaco,59,Individual,2021-12-16,ojohnson@parker.com
a85b5df7-fb8f-4e92-8adb-4c5c3f178495,Victoria Lopez,Bosnia and Herzegovina,60,Individual,2023-08-04,pford@ryan.org
0ffc1ee5-93da-4480-9ed7-24d7856e62af,Sarah Fry,Guyana,67,Individual,2022-02-08,zbryant@moody.com
ff2dea4b-198c-43e5-9fd1-ee4fe9f64460,Scott Stevens,Solomon Islands,22,Individual,2021-05-16,martincynthia@douglas.biz
463d6c0f-d832-42c3-b2e6-9479c0c8c6f2,Danielle Chambers,Nepal,69,Individual,2022-01-27,john68@elliott.com
b2de11ad-55d4-4323-a8a6-2d23d22985d0,Michael Pope,Hong Kong,30,Individual,2020-07-07,markwright@gmail.com
b1f8cc4c-cbb4-49be-bff6-027b6828eb4c,Douglas Jackson,Gibraltar,34,Individual,2017-09-23,qrusso@watts.org
6a85105e-7060-4ebd-b6f8-071166f12595,David Williams,French Southern Territories,29,Individual,2016-07-03,kaylasanders@hotmail.com
dc4a7ef6-959f-4b91-923b-e95be6f148b6,Justin Hunter,Greenland,34,Individual,2017-08-15,rhodesamy@flores-knight.biz
9082b394-4499-4740-a116-4937569ca9ec,Gary Brown,Uganda,18,Individual,2023-07-25,amedina@cooke.com
18afda08-076b-4877-bce0-08f0662bcd70,Lisa Schultz,Philippines,25,Individual,2015-10-23,floresjennifer@hotmail.com
273d432d-9178-4529-89fc-98287be37151,Brendan Smith,Mauritania,33,Individual,2015-08-17,sarnold@novak.com
6c130b4c-7329-466b-9834-e9cfca47247c,Jody Nichols,Canada,32,Business,2019-11-28,twilliams@hancock.com
ee96a38f-1339-48ad-94c3-5fcd4e71c76a,Gerald Conley,Spain,36,Business,2022-05-30,michellemurphy@vega.org
f297de6a-deb8-4e1b-bbb1-17bbe64569fa,Sharon Larson,Liberia,42,Individual,2022-02-06,robert52@yahoo.com
0a456ebb-cc6c-494e-8225-59137779bb5b,Rodney Wolfe,Western Sahara,48,Individual,2021-05-22,amber11@wood-bray.com
aa5cf0fa-270e-4aaa-a262-24bb2101f87d,Joan Taylor,Cuba,59,Individual,2022-05-10,jasonbush@hotmail.com
4067b6e0-0113-447c-8e1c-447334a48af8,Danielle Lin,Kuwait,19,Individual,2022-07-20,jchapman@yahoo.com
f50e7942-599a-4b6c-bc34-7d6eb4374902,Erin Bautista,Reunion,74,Business,2019-05-01,perezsuzanne@morgan.biz
813aad18-73bd-428f-8e2a-592a3ae179a6,Kimberly Garner,Colombia,42,Business,2016-05-23,srose@hotmail.com
75dff95a-70bf-417b-a983-8000dfbcddde,Kimberly Richardson,Angola,48,Business,2016-01-19,rebecca22@weeks.com
dcae8170-5295-4b3f-a2cf-e7d0a838ebc6,John Miller,Eritrea,21,Business,2019-03-10,robertmartin@hanson.org
